slug,title,origin,kind,narrator,pov,shelf,tone,in_app,app_doc_id,on_youtube,video_slug,visualizer,video_bed,notes
"grayson-rain-wind-down","asleep on your chest","app-batch","narrator","grayson","m4f","bedtime","sfw","✓","3UlS7Q1nDLU4LmDwTTxK","—","","","",""
"grayson-lazy-sunday","lazy sunday","app-batch","narrator","grayson","m4f","after dark","nsfw","✓","scNwxsUdAVMIi4BcHRJ6","—","","","",""
"roman-he-handles-it","he handles it","app-batch","narrator","roman","m4f","bedtime","sfw","✓","jURBTS8a2dAp83hsmzVc","—","","","",""
"roman-silk-tie","the silk tie","app-batch","narrator","roman","m4f","dark romance","nsfw","✓","8ROrDSPlrJ0WeW9aMxEC","—","","","",""
"beau-porch-storm","porch light","app-batch","narrator","beau","m4f","bedtime","sfw","✓","NBYAK0Z2zsYexu0sK7tb","—","","","",""
"beau-barn-heat","heat lightning","app-batch","narrator","beau","m4f","after dark","nsfw","✓","Q5Wde04KxzIckyWre158","—","","","",""
"mara-last-call","last call","app-batch","narrator","mara","f4f","bedtime","sfw","✓","x66U6gJNLUhI64e7KDyg","—","","","",""
"mara-locks-the-door","after she locks the door","app-batch","narrator","mara","f4f","after dark","nsfw","✓","tBBfkdJZ3zkQQgYPmzwH","—","","","",""
"kael-starlit-court","the starlit court","app-batch","narrator","kael","m4f","romantasy","sfw","✓","fnZnwCsHVDuCJtB9mQVX","—","","","",""
"kael-the-bargain","the bargain","app-batch","narrator","kael","m4f","romantasy","nsfw","✓","roFGRTgmcTSscRaNTH2R","—","","","",""
"julia-stay-on-the-line","stay on the line","app-batch","narrator","julia","f4m","bedtime","sfw","✓","xFbYePcnLaJjdlPhYgi1","—","","","",""
"julia-good-boy","good boy","app-batch","narrator","julia","f4m","after dark","nsfw","✓","JB3LVQBOFd50uIxiWEba","—","","","",""
"lighthouse-keeper","the night watch","app-batch","one-shot","","m4f","bedtime","sfw","✓","LZLHAtWSPf1Tgvo9z0mV","—","","","",""
